country,indicator,series_name,year,value,dataflow,publication_date
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1999,139.9450989,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2000,142.9759979,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2001,152.1937866,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2002,163.4607849,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2003,178.9049072,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2004,193.7158051,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2005,199.2422943,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2006,217.8616028,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2007,232.6945953,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2008,241.9904022,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2009,237.5341949,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2010,224.1239929,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2011,203.308197,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2012,188.3887024,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2013,179.616394,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2014,177.3493958,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2015,176.1102142,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2016,174.2368927,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2017,177.1519012,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2018,179.7273102,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",2019,183.4135132,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1960,205.2416646,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1961,188.5586921,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1962,195.2957693,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1963,181.4290884,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1964,172.226316,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1965,161.4231896,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1966,157.3132282,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1967,154.4544529,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1968,149.4324418,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1969,138.8854405,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1970,132.169541,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1971,127.019538,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1972,119.4750903,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1973,114.5062315,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1974,126.7652972,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1975,123.4222603,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1976,119.604175,IMF.FAD:ICSD(1.0.0),2025-07-01
